"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 17:08:01 GMT 2023","Sun Jun 25 17:08:03 GMT 2023","2440","chromium","","","","","should be able to add a new todo",""
"passed","Sun Jun 25 17:08:03 GMT 2023","Sun Jun 25 17:08:05 GMT 2023","1942","chromium","","","","","should be able to delete a todo",""
"passed","Sun Jun 25 17:08:05 GMT 2023","Sun Jun 25 17:08:07 GMT 2023","1915","chromium","","","","","should be able to register to our application",""
